Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.01     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > > std::__uninitialized_copy_aux<__gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > > >(__gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __true_type)
  0.00      0.01     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > > std::copy<__gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > > >(__gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >)
  0.00      0.01     0.00       10     0.00     0.00  std::_Vector_base<datapoint*, std::allocator<datapoint*> >::_M_deallocate(datapoint**, unsigned long)
  0.00      0.01     0.00       10     0.00     0.00  void std::__destroy_aux<datapoint**>(datapoint**, datapoint**, __true_type)
  0.00      0.01     0.00       10     0.00     0.00  void std::_Destroy<datapoint**>(datapoint**, datapoint**)
  0.00      0.01     0.00       10     0.00     0.00  void std::_Destroy<datapoint**, datapoint*>(datapoint**, datapoint**, std::allocator<datapoint*>)
  0.00      0.01     0.00        9     0.00     0.00  std::_Vector_base<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> >::_M_deallocate(__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**, unsigned long)
  0.00      0.01     0.00        9     0.00     0.00  void std::__destroy_aux<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**>(__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**, __gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**, __true_type)
  0.00      0.01     0.00        9     0.00     0.00  void std::_Destroy<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**>(__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**, __gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**)
  0.00      0.01     0.00        9     0.00     0.00  void std::_Destroy<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**, __gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*>(__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**, __gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*>)
  0.00      0.01     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*>::deallocate(__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**, unsigned long)
  0.00      0.01     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*>::allocate(unsigned long, void const*)
  0.00      0.01     0.00        8     0.00     0.00  __gnu_cxx::__stl_next_prime(unsigned long)
  0.00      0.01     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*>::max_size() const
  0.00      0.01     0.00        8     0.00     0.00  __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::_M_next_size(unsigned long) const
  0.00      0.01     0.00        8     0.00     0.00  std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*>::allocator(std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> const&)
  0.00      0.01     0.00        8     0.00     0.00  std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*>::~allocator()
  0.00      0.01     0.00        8     0.00     0.00  std::_Vector_base<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> >::_M_allocate(unsigned long)
  0.00      0.01     0.00        8     0.00     0.00  std::_Vector_base<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> >::_Vector_impl::_Vector_impl(std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> const&)
  0.00      0.01     0.00        8     0.00     0.00  std::_Vector_base<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> >::_Vector_impl::~_Vector_impl()
  0.00      0.01     0.00        8     0.00     0.00  std::_Vector_base<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> >::~_Vector_base()
  0.00      0.01     0.00        8     0.00     0.00  std::vector<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> >::~vector()
